1,Logan Webb,SFG,3.44
2,Framber Valdez,HOU,3.4
3,Aaron Nola,PHI,3.89
4,Luis Castillo,SEA,3.54
5,Zac Gallen,ARI,3.69
6,Zack Wheeler,PHI,3.51
7,Corbin Burnes,BAL,3.54
8,Logan Gilbert,SEA,3.83
9,Pablo L?pez,MIN,3.53
10,George Kirby,SEA,3.57
11,Kevin Gausman,TOR,3.42
12,Mitch Keller,PIT,4.15
13,Merrill Kelly,ARI,4
14,Chris Bassitt,TOR,4
15,Spencer Strider,ATL,3.38
16,Miles Mikolas,STL,4.46
17,Jos? Berr?os,TOR,4.13
18,Kyle Gibson,STL,4.5
19,Dylan Cease,SDP,3.87
20,Justin Steele,CHC,3.67
21,Jes?s Luzardo,MIA,3.78
22,Shane Bieber,CLE,3.78
23,Zach Eflin,BAL,3.65
24,Tanner Bibee,CLE,3.76
25,Jordan Montgomery,ARI,3.81
26,Blake Snell,SFG,3.46
27,Cole Ragans,KCR,3.87
28,Yoshinobu Yamamoto,LAD,3.69
29,Joe Ryan,MIN,3.99
30,Brayan Bello,BOS,4.28
31,Freddy Peralta,MIL,3.72
32,Max Fried,ATL,3.41
33,Lance Lynn,STL,4.49
34,Grayson Rodriguez,BAL,3.72
35,Nick Pivetta,BOS,4.21
36,JP Sears,OAK,4.33
37,Kyle Freeland,COL,5.39
38,Josiah Gray,WSN,4.91
39,Cristian Javier,HOU,4.3
40,Brady Singer,KCR,4.51
41,Tarik Skubal,DET,3.44
42,Sonny Gray,STL,3.67
43,Bailey Ober,MIN,4.08
44,Patrick Corbin,WSN,5.2
45,Shota Imanaga,CHC,3.88
46,Jon Gray,TEX,4.29
47,Tyler Anderson,LAA,4.73
48,Reid Detmers,LAA,4.26
49,Dean Kremer,BAL,4.33
50,Bobby Miller,LAD,3.83
51,Marcus Stroman,NYY,3.99
52,Jose Quintana,NYM,4.18
53,Joe Musgrove,SDP,3.66
54,Hunter Greene,CIN,4.2
55,Clarke Schmidt,NYY,4.36
56,Cal Quantrill,COL,5.38
57,Dane Dunning,TEX,4.38
58,Patrick Sandoval,LAA,4.09
59,Yusei Kikuchi,HOU,4.19
60,Ranger Su?rez,PHI,4
61,Nathan Eovaldi,TEX,4.05
62,Hunter Brown,HOU,3.92
63,Seth Lugo,KCR,4.34
64,Charlie Morton,ATL,4.15
65,Cristopher S?nchez,PHI,4.05
66,Mart?n P?rez,SDP,4.49
