1,Logan Webb,SFG,3.42
2,Corbin Burnes,BAL,3.62
3,Zac Gallen,ARI,3.7
4,Chris Bassitt,TOR,4.01
5,Zack Wheeler,PHI,3.58
6,Aaron Nola,PHI,3.83
7,Framber Valdez,HOU,3.37
8,Luis Castillo,SEA,3.46
9,Kevin Gausman,TOR,3.45
10,Pablo L?pez,MIN,3.59
11,George Kirby,SEA,3.56
12,Shane Bieber,CLE,3.73
13,Logan Gilbert,SEA,3.69
14,Mitch Keller,PIT,4.15
15,Yoshinobu Yamamoto,LAD,3.78
16,Merrill Kelly,ARI,4.07
17,Miles Mikolas,STL,4.45
18,Spencer Strider,ATL,3.23
19,Max Fried,ATL,3.44
20,Zach Eflin,BAL,3.51
21,Nick Pivetta,BOS,4.51
22,Jes?s Luzardo,MIA,3.82
23,Justin Steele,CHC,3.67
24,Jos? Berr?os,TOR,4.1
25,Dylan Cease,SDP,3.75
26,Sonny Gray,STL,3.7
27,Joe Ryan,MIN,4.02
28,Brayan Bello,BOS,4.28
29,Kyle Gibson,STL,4.41
30,Yu Darvish,SDP,4.04
31,Josiah Gray,WSN,4.87
32,Joe Musgrove,SDP,3.62
33,Dean Kremer,BAL,4.21
34,Jordan Montgomery,ARI,3.68
35,Nathan Eovaldi,TEX,4.18
36,Shota Imanaga,CHC,3.7
37,Reid Detmers,LAA,4.26
38,Brady Singer,KCR,4.44
39,Lance Lynn,STL,4.4
40,Tyler Anderson,LAA,4.8
41,Grayson Rodriguez,BAL,3.85
42,Cole Ragans,KCR,4
43,Marcus Stroman,NYY,4.03
44,JP Sears,OAK,4.22
45,Cristian Javier,HOU,4.37
46,Patrick Corbin,WSN,5.17
47,Freddy Peralta,MIL,3.77
48,Blake Snell,SFG,3.53
49,Taijuan Walker,PHI,4.72
50,Patrick Sandoval,LAA,4.09
51,Kyle Freeland,COL,5.54
52,Jon Gray,TEX,4.31
53,Jose Quintana,NYM,4.4
54,Carlos Rod?n,NYY,3.81
55,Tarik Skubal,DET,3.47
56,Sean Manaea,NYM,4.32
57,Tanner Bibee,CLE,4.03
58,Dane Dunning,TEX,4.47
59,Michael King,SDP,3.67
