1,Logan Webb,SFG,3.5
2,Zack Wheeler,PHI,3.56
3,Corbin Burnes,BAL,3.78
4,Zac Gallen,ARI,3.82
5,Framber Valdez,HOU,3.39
6,Aaron Nola,PHI,3.82
7,Luis Castillo,SEA,3.65
8,Chris Bassitt,TOR,4.18
9,Kevin Gausman,TOR,3.44
10,Pablo L?pez,MIN,3.51
11,Shane Bieber,CLE,3.95
12,George Kirby,SEA,3.63
13,Mitch Keller,PIT,4.18
14,Logan Gilbert,SEA,3.88
15,Merrill Kelly,ARI,4.17
16,Spencer Strider,ATL,3.19
17,Max Fried,ATL,3.59
18,Zach Eflin,BAL,3.64
19,Miles Mikolas,STL,4.53
20,Brayan Bello,BOS,4.29
21,Justin Steele,CHC,3.71
22,Jes?s Luzardo,MIA,3.76
23,Sonny Gray,STL,3.83
24,Jos? Berr?os,TOR,4.09
25,Joe Ryan,MIN,4.04
26,Dylan Cease,SDP,3.91
27,Kyle Gibson,STL,4.32
28,Shota Imanaga,CHC,3.84
29,Cole Ragans,KCR,3.96
30,Josiah Gray,WSN,5.24
31,Reid Detmers,LAA,4.25
32,Yoshinobu Yamamoto,LAD,3.94
33,Dean Kremer,BAL,4.55
34,Grayson Rodriguez,BAL,3.66
35,Nathan Eovaldi,TEX,4.23
36,Nick Pivetta,BOS,4.47
37,Joe Musgrove,SDP,3.86
38,Tarik Skubal,DET,3.33
39,Jose Quintana,NYM,4.23
40,Yu Darvish,SDP,4.12
41,Marcus Stroman,NYY,4.01
42,Kyle Freeland,COL,5.8
43,JP Sears,OAK,4.34
44,Brady Singer,KCR,4.41
45,Jordan Montgomery,ARI,3.96
46,Freddy Peralta,MIL,3.7
47,Blake Snell,SFG,3.53
48,Lance Lynn,STL,4.34
49,Tyler Anderson,LAA,4.96
50,Patrick Corbin,WSN,4.9
51,Carlos Rod?n,NYY,3.77
52,Jon Gray,TEX,4.37
53,Patrick Sandoval,LAA,4.18
54,Taijuan Walker,PHI,4.76
55,Cristian Javier,HOU,4.68
56,Tanner Bibee,CLE,4.23
57,Graham Ashcraft,CIN,4.8
58,Cal Quantrill,COL,5.96
59,Hunter Greene,CIN,4.25
60,Clarke Schmidt,NYY,4.37
61,Kyle Harrison,SFG,4.1
62,Kyle Hendricks,CHC,4.78
63,Michael Wacha,KCR,4.72
64,Charlie Morton,ATL,4.19
65,Seth Lugo,KCR,4.4
66,Yusei Kikuchi,HOU,3.98
67,Justin Verlander,HOU,4.22
68,Jack Flaherty,LAD,4.41
69,Bailey Ober,MIN,4.24
70,Dane Dunning,TEX,4.57
71,Ranger Su?rez,PHI,4.04
72,Zack Littell,TBR,4.68
73,Tyler Glasnow,LAD,3.48
74,MacKenzie Gore,WSN,4.19
75,Austin Gomber,COL,5.69
76,Kutter Crawford,BOS,4.69
77,Mart?n P?rez,SDP,4.72
78,Bobby Miller,LAD,4.02
79,Erick Fedde,STL,5.13
80,Chris Sale,ATL,3.76
81,Triston McKenzie,CLE,4.46
82,Frankie Montas,MIL,4.43
83,Michael King,SDP,3.86
84,Aaron Civale,MIL,4.15
85,Tanner Houck,BOS,4.31
86,Louie Varland,MIN,4.15
87,Luis Severino,NYM,4.29
88,Paul Blackburn,NYM,4.39
89,Sean Manaea,NYM,4.06
90,Jordan Hicks,SFG,3.66
91,Kenta Maeda,DET,4.11
92,Michael Soroka,CHW,4.39
93,Griffin Canning,LAA,4.21
94,Bryce Miller,SEA,4.32
95,Logan Allen,CLE,4.19
96,Brandon Pfaadt,ARI,4.4
97,Nestor Cortes,NYY,4.17
98,Andrew Heaney,TEX,4.3
99,Jameson Taillon,CHC,4.62
100,Nick Lodolo,CIN,3.79
101,Marco Gonzales,PIT,4.87
102,Wade Miley,MIL,4.54
103,Taj Bradley,TBR,4.08
104,Chris Flexen,CHW,5.17
105,Colin Rea,,4.55
106,Ryan Pepiot,TBR,4.44
107,Eduardo Rodriguez,ARI,3.99
108,Braxton Garrett,MIA,3.99
109,John Means,BAL,4.49
110,Alex Wood,OAK,4.44
111,Steven Matz,STL,3.92
112,Jordan Wicks,CHC,4.36
113,DL Hall,MIL,3.66
114,Alex Cobb,CLE,3.68
115,Reese Olson,DET,4.21
116,Nick Martinez,CIN,4.71
117,Chris Paddack,MIN,4.37
118,Hunter Brown,HOU,3.76
119,Chase Silseth,LAA,4.33
120,Ross Stripling,OAK,4.4
121,Dakota Hudson,COL,5.79
122,Walker Buehler,LAD,4.36
123,Cristopher S?nchez,PHI,4.04
124,Adrian Houser,BAL,4.66
125,Jhony Brito,SDP,4.43
126,Kodai Senga,NYM,3.74
127,James Paxton,BOS,4.14
128,Trevor Rogers,BAL,4.06
129,Casey Mize,DET,4.63
130,Jared Jones,PIT,4.71
131,Bryan Woo,SEA,4.05
132,Gavin Williams,CLE,4.24
133,Reynaldo L?pez,ATL,4.26
134,Jake Irvin,WSN,4.99
135,Eury P?rez,MIA,4.1
136,Garrett Crochet,CHW,4.07
137,Edward Cabrera,MIA,4.16
138,Ryan Feltner,COL,5.43
139,Alec Marsh,KCR,4.97
140,Jakob Junis,CIN,4.43
141,Garrett Whitlock,BOS,4.27
142,Shane Baz,TBR,3.7
143,Matt Manning,DET,4.8
144,Joe Ross,MIL,4.48
145,Peter Lambert,COL,5.57
146,Bryce Elder,ATL,4.57
147,Max Scherzer,TEX,4.08
148,Nick Nastrini,CHW,5.02
149,Luis Gil,NYY,4.29
150,Michael Lorenzen,KCR,4.65
151,A.J. Puk,ARI,4.03
152,Jos? Urquidy,HOU,4.94
153,Kyle Bradish,BAL,3.93
154,Max Meyer,MIA,4.32
155,Alek Manoah,TOR,4.67
156,Andrew Abbott,CIN,4.38
157,Luis Medina,OAK,4.53
158,Trevor Williams,WSN,5.2
159,Carlos Carrasco,CLE,4.48
160,Luis L. Ortiz,PIT,4.8
161,Anthony DeSclafani,MIN,4.53
162,Tylor Megill,NYM,4.38
163,Drew Thorpe,CHW,4.3
164,Joe Boyle,OAK,4.34
165,Quinn Priester,BOS,4.42
166,Robert Gasser,MIL,4.51
167,Gerrit Cole,NYY,3.72
168,J.P. France,HOU,4.61
169,Daniel Lynch IV,KCR,4.76
170,Randy V?squez,SDP,4.34
171,Javier Assad,CHC,4.52
172,Ronel Blanco,HOU,4.44
173,Aaron Ashby,MIL,3.51
174,Emerson Hancock,SEA,4.7
175,Jackson Rutledge,WSN,5.35
176,Ryne Nelson,ARI,4.74
177,David Peterson,NYM,3.5
178,Jordan Lyles,LAD,5.05
179,Tyler Wells,BAL,4.5
180,Spencer Turnbull,PHI,4.31
181,Cole Irvin,BAL,4.33
182,Lance McCullers Jr.,HOU,4.04
183,Brandon Williamson,CIN,5.16
184,Mike Clevinger,CHW,4.83
185,Matt Waldron,SDP,4.8
186,Keaton Winn,SFG,4.03
187,Josh Winckowski,BOS,4.29
188,Kyle Muller,OAK,4.03
189,Zack Thompson,STL,4.1
190,Gavin Stone,LAD,4.23
191,Chase Anderson,TEX,5.22
192,Matthew Liberatore,STL,3.93
193,Mitch Spence,OAK,4.16
194,Ryan Weathers,MIA,4.23
195,Zach Plesac,,5.02
196,Joey Wentz,PIT,4.22
197,Clayton Kershaw,LAD,3.81
198,Jos? Soriano,LAA,4.02
199,Sawyer Gipson-Long,DET,4.03
200,Matt Strahm,PHI,3.56
201,H?ctor Neris,HOU,4.12
202,Michael Kopech,LAD,4.34
203,Brent Suter,CIN,4.61
204,Dillon Tate,TOR,4.26
205,Xzavion Curry,MIA,4.91
206,Ben Brown,CHC,4.07
207,Cooper Criswell,BOS,4.92
208,Drew Smyly,CHC,4.07
209,Mason Miller,OAK,2.96
210,David Bednar,PIT,3.6
211,Alexis D?az,CIN,4.32
212,Giovanny Gallegos,MIN,3.99
213,Bryan Abreu,HOU,3.25
214,Adbert Alzolay,CHC,3.65
215,Joel Payamps,MIL,3.93
216,Joe Jim?nez,ATL,3.98
