1,Dylan Cease,SDP,3.9
2,Luis Castillo,SEA,3.63
3,Logan Webb,SFG,3.45
4,Spencer Strider,ATL,3.11
5,Zack Wheeler,PHI,3.41
6,Aaron Nola,PHI,3.78
7,Mitch Keller,PIT,4.46
8,Corbin Burnes,BAL,3.59
9,Miles Mikolas,STL,4.73
10,Zac Gallen,ARI,3.78
11,Kevin Gausman,TOR,3.73
12,Logan Gilbert,SEA,4.09
13,Pablo L?pez,MIN,3.51
14,Framber Valdez,HOU,3.51
15,Chris Bassitt,TOR,4.21
16,Kyle Gibson,STL,4.66
17,George Kirby,SEA,3.63
18,Merrill Kelly,ARI,4.37
19,Lance Lynn,STL,4.39
20,Justin Steele,CHC,3.83
21,Jos? Berr?os,TOR,4.3
22,Freddy Peralta,MIL,3.46
23,Jes?s Luzardo,MIA,3.95
24,Joe Ryan,MIN,3.87
25,Blake Snell,SFG,3.92
26,Nick Pivetta,BOS,4.49
27,Cristian Javier,HOU,4.4
28,Tanner Bibee,CLE,3.78
29,Grayson Rodriguez,BAL,3.74
30,JP Sears,OAK,4.48
31,Josiah Gray,WSN,5.03
32,Brayan Bello,BOS,4.43
33,Jose Quintana,NYM,4.58
34,Reid Detmers,LAA,4.43
35,Brady Singer,KCR,4.62
36,Patrick Sandoval,LAA,4.2
37,Dean Kremer,BAL,4.49
38,Hunter Greene,CIN,4.5
39,Dane Dunning,TEX,4.52
40,Max Fried,ATL,3.29
41,Tyler Anderson,LAA,4.9
42,Zach Eflin,BAL,3.51
43,Shane Bieber,CLE,3.86
44,Yusei Kikuchi,HOU,4.48
45,Bailey Ober,MIN,4.02
46,Ranger Su?rez,PHI,4.16
47,Jon Gray,TEX,4.47
48,Cole Ragans,KCR,4.01
49,Patrick Corbin,WSN,5.8
50,Hunter Brown,HOU,3.98
51,Taijuan Walker,PHI,4.72
52,Seth Lugo,KCR,4.72
53,Sonny Gray,STL,3.72
54,Charlie Morton,ATL,4.34
55,Clarke Schmidt,NYY,4.37
56,MacKenzie Gore,WSN,4.53
57,Cristopher S?nchez,PHI,4.09
58,Louie Varland,MIN,4.37
59,Bobby Miller,LAD,3.96
60,Jordan Montgomery,ARI,4.18
61,Jack Flaherty,LAD,4.51
62,Carlos Rod?n,NYY,3.98
63,Triston McKenzie,CLE,4.09
64,Erick Fedde,STL,4.71
65,Tarik Skubal,DET,3.38
66,Griffin Canning,LAA,4.41
67,Marcus Stroman,NYY,4.1
68,Nathan Eovaldi,TEX,4.28
69,Michael King,SDP,3.7
70,Kutter Crawford,BOS,4.53
71,Joe Musgrove,SDP,3.7
72,Kyle Freeland,COL,5.99
73,Aaron Civale,MIL,4.14
74,Logan Allen,CLE,4.29
75,Yoshinobu Yamamoto,LAD,3.68
76,Bryce Miller,SEA,4.34
77,Nestor Cortes,NYY,4.06
78,Sean Manaea,NYM,4.03
79,Shota Imanaga,CHC,4.54
80,Brandon Pfaadt,ARI,4.7
81,Mart?n P?rez,SDP,4.91
82,Cal Quantrill,COL,5.79
