1,Logan Webb,SFG,3.33
2,Sandy Alcantara,MIA,3.53
3,Gerrit Cole,NYY,3.53
4,Zac Gallen,ARI,3.57
5,Framber Valdez,HOU,3.34
6,Logan Gilbert,SEA,3.51
7,Aaron Nola,PHI,3.84
8,Corbin Burnes,BAL,3.46
9,Luis Castillo,SEA,3.27
10,Pablo L?pez,MIN,3.68
11,Zack Wheeler,PHI,3.61
12,Yoshinobu Yamamoto,LAD,3.63
13,Chris Bassitt,TOR,3.84
14,Jos? Berr?os,TOR,4.12
15,Jordan Montgomery,ARI,3.4
16,Kevin Gausman,TOR,3.46
17,Dylan Cease,SDP,3.58
18,George Kirby,SEA,3.48
19,Mitch Keller,PIT,4.11
20,Miles Mikolas,STL,4.36
21,Spencer Strider,ATL,3.28
22,Lucas Giolito,BOS,4.51
23,Kodai Senga,NYM,3.63
24,Blake Snell,SFG,3.52
25,Bryce Elder,ATL,4.22
26,Kyle Bradish,BAL,3.71
27,Triston McKenzie,CLE,3.54
28,Walker Buehler,LAD,3.56
29,Sonny Gray,STL,3.56
30,Dean Kremer,BAL,3.86
31,Merrill Kelly,ARI,3.97
32,Justin Steele,CHC,3.64
33,Jes?s Luzardo,MIA,3.88
34,Freddy Peralta,MIL,3.86
35,Joe Ryan,MIN,4.01
36,Charlie Morton,ATL,4.09
37,Kyle Gibson,STL,4.51
38,Johan Oviedo,PIT,4.23
39,Tanner Bibee,CLE,3.81
40,Shane Bieber,CLE,3.52
41,Taijuan Walker,PHI,4.67
42,David Buchanan,CIN,5.36
43,Brandon Pfaadt,ARI,3.97
44,Brayan Bello,BOS,4.28
45,Justin Verlander,HOU,3.85
46,Zach Eflin,BAL,3.37
47,Julio Ur?as,LAD,3.7
48,Dane Dunning,TEX,4.39
49,Yu Darvish,SDP,3.96
50,Bailey Ober,MIN,3.98
51,Jordan Lyles,LAD,5.61
52,Cristian Javier,HOU,4.06
53,Ryne Nelson,ARI,4.32
54,JP Sears,OAK,4.08
55,Andrew Abbott,CIN,4.41
56,Brady Singer,KCR,4.47
57,Cristopher S?nchez,PHI,4.36
58,Josiah Gray,WSN,4.49
59,Grayson Rodriguez,BAL,4.06
60,Patrick Sandoval,LAA,4
61,Joe Musgrove,SDP,3.38
62,Lance Lynn,STL,4.46
63,Shohei Ohtani,LAD,3.3
64,Bryce Miller,SEA,3.88
65,Quinn Priester,BOS,4.67
66,Patrick Corbin,WSN,5.45
67,Eduardo Rodriguez,ARI,3.65
68,Marcus Stroman,NYY,4.04
69,Taj Bradley,TBR,4.18
70,Bobby Miller,LAD,3.74
71,Michael McGreevy,STL,4.39
72,Kyle Freeland,COL,5.24
73,Shota Imanaga,CHC,3.55
74,Reid Detmers,LAA,4.28
75,Braxton Garrett,MIA,4.02
76,Jameson Taillon,CHC,4.41
77,Germ?n M?rquez,COL,4.75
78,Alex Cobb,CLE,3.84
79,Max Scherzer,TEX,3.85
80,Mitch Spence,OAK,4.18
81,Yusei Kikuchi,HOU,4.38
82,Hunter Brown,HOU,4.06
83,Blake Walston,ARI,4.52
84,Shane McClanahan,TBR,3.13
85,Ranger Su?rez,PHI,4.02
86,Reid VanScoter,SEA,4.29
87,Hunter Greene,CIN,4.31
88,Erick Fedde,STL,4.86
89,Louie Varland,MIN,4.2
90,Kyle Hendricks,CHC,4.41
91,Nick Pivetta,BOS,4.54
92,Tyler Anderson,LAA,4.63
93,Cole Irvin,BAL,4.58
94,Jon Gray,TEX,4.25
95,Graham Ashcraft,CIN,4.81
96,Nathan Eovaldi,TEX,4.12
97,Gavin Williams,CLE,4.12
98,Clarke Schmidt,NYY,4.41
99,Logan Allen,CLE,4.06
100,Richard Fitts,BOS,4.61
101,Joey Estes,OAK,4.54
102,Darren McCaughan,MIA,4.58
103,Mart?n P?rez,SDP,4.16
104,Frankie Montas,MIL,4.65
105,Zack Greinke,,4.86
106,Max Fried,ATL,3.27
107,Kyle Muller,OAK,4.67
108,Luis Palacios,MIA,4.69
109,Tylor Megill,NYM,4.83
110,Brandon Williamson,CIN,5.05
111,Luis L. Ortiz,PIT,4.56
112,Robbie Ray,SFG,4.14
113,Cal Quantrill,COL,4.93
114,Jake Irvin,WSN,4.88
115,Jay Groome,SDP,4.95
116,Jack Flaherty,LAD,4.54
117,Slade Cecconi,ARI,4.12
118,William Cuevas,,4.76
119,David Peterson,NYM,4.49
120,Robert Gasser,MIL,4.29
121,J.P. France,HOU,4.17
122,Eury P?rez,MIA,3.63
123,Reese Olson,DET,4.35
124,Cristian Mena,ARI,4.15
125,Ken Waldichuk,OAK,4.33
126,Michael Lorenzen,KCR,4.55
127,Ian Anderson,ATL,4.44
128,Matthew Liberatore,STL,4.36
129,Adam Wainwright,,4.88
130,Drew Thorpe,CHW,4.23
131,Dakota Hudson,COL,5.12
132,Drew Smyly,CHC,4.54
133,Alek Manoah,TOR,4.47
134,Allan Winans,ATL,4.34
135,Anthony Molina,COL,5.09
136,Brandon Woodruff,MIL,3.16
137,Rich Hill,BOS,4.96
138,Jared Jones,PIT,4.46
139,Joan Adon,WSN,4.99
140,Aaron Civale,MIL,3.94
141,Mike Clevinger,CHW,4.55
142,Will Warren,NYY,4.55
143,Tyler Glasnow,LAD,3.58
144,Austin Gomber,COL,5.33
145,Brian Van Belle,BOS,4.95
146,Alec Marsh,KCR,4.87
147,Tyler Mahle,TEX,4.19
148,Janson Junk,OAK,4.59
149,Ryan Weathers,MIA,4.76
150,Tanner Gordon,COL,5.14
151,Colton Gordon,HOU,4.37
152,Michael Wacha,KCR,4.46
153,Andrew Heaney,TEX,4.69
154,Seth Lugo,KCR,4.4
155,Jared Shuster,CHW,5.09
156,Jos? Butt?,NYM,4.86
157,Matt Waldron,SDP,4.49
158,Evan McKendry,MIL,4.41
159,Max Castillo,,5.03
160,Keider Montero,DET,4.64
161,MacKenzie Gore,WSN,4.27
162,Bryan Woo,SEA,4.11
163,Carlos Rodriguez,MIL,4.51
164,Tobias Myers,MIL,4.59
165,Robert Dugger,OAK,4.9
166,Luis De Avila,ATL,4.75
167,Kyle Luckham,WSN,5.21
168,Luis Garcia,HOU,3.82
169,Gavin Stone,LAD,4.46
170,Chris Flexen,CHW,4.85
171,Mason Montgomery,TBR,4.3
172,Sem Robberse,STL,4.54
173,Connor Phillips,CIN,5.02
174,Brett Kerry,LAA,4.79
175,Drew Rucinski,,4.79
176,Aaron Shortridge,PIT,5.1
177,Matthew Thompson,CHC,5.02
178,Carlos Rod?n,NYY,3.86
179,Clayton Kershaw,LAD,3.46
180,Paul Skenes,PIT,4.57
181,Javier Assad,CHC,4.33
182,Jhony Brito,SDP,4.03
183,Adam Kloffenstein,STL,4.58
184,Bailey Falter,PIT,4.35
185,Tyler Wells,BAL,4.2
186,Cade Povich,BAL,4.43
187,Andrew Painter,PHI,4.46
188,Sean Manaea,NYM,4.54
189,Alemao Hernandez,,5.1
190,Wilfredo Pereira,STL,4.78
191,Colin Rea,,4.55
192,Caleb Boushley,MIN,4.79
193,Cody Bradford,TEX,4.41
194,Edward Cabrera,MIA,4.41
195,Jeff Criswell,COL,5.22
196,Jonathan Cannon,CHW,4.98
197,Michael Kopech,LAD,4.82
198,Trevor Williams,WSN,5.14
199,Karl Kauffmann,COL,5.87
200,Tommy Henry,ARI,4.43
201,Simeon Woods Richardson,MIN,4.67
202,Cole Ragans,KCR,4.04
203,Adrian Houser,BAL,4.45
204,Chandler Champlain,KCR,4.85
205,Brandon Bielak,OAK,4.29
206,Pierson Ohl,MIN,4.22
207,Garrett Stallings,MIL,4.54
208,Kenny Rosenberg,LAA,4.62
209,Kyle Tyler,PHI,4.95
210,Connor Lunn,,4.47
211,Andrew Hoffmann,KCR,4.8
212,Alan Rangel,PHI,5.04
213,Mike Vasil,NYM,4.41
214,Jordan Wicks,CHC,4.41
215,Dom Hamel,NYM,4.65
216,Wade Miley,MIL,4.24
217,Victor Santos,STL,4.42
218,Jack Cushing,OAK,4.25
219,James Paxton,BOS,4.51
220,Kyle Wright,KCR,4.51
221,Mason Black,SFG,4.35
222,Paul Blackburn,NYM,4.43
223,Domingo Robles,OAK,4.59
224,Anthony Veneziano,MIA,5
225,Isaac Coffey,BOS,4.61
226,Joey Wentz,PIT,4.86
227,Ty Madden,DET,4.53
228,Julian Aguiar,CIN,5.02
229,Jake Kalish,,5.27
230,Zach Plesac,,5.2
231,Shane Drohan,BOS,5.04
232,Caleb Kilian,CHC,4.72
233,Justin Jarvis,NYM,5.13
234,Randy V?squez,SDP,4.24
235,Kai-Wei Teng,SFG,4.9
236,Connor Thomas,STL,4.33
237,Rhett Kouba,HOU,4.42
238,Jackson Rutledge,WSN,5.25
239,Sean Hjelle,SFG,4.83
240,Jonathan Heasley,,5
241,Brant Hurter,DET,4.43
242,Joey Lucchesi,NYM,4.93
243,Spencer Arrighetti,HOU,4.43
244,Bryce Jarvis,ARI,4.43
245,Luis Medina,OAK,4.51
246,Yu-Min Lin,ARI,4.28
247,Chad Patrick,MIL,4.78
248,Johnny Cueto,,4.86
249,Griffin Canning,LAA,4.37
250,Clayton Beeter,NYY,4.79
251,Thomas Pannone,NYY,4.55
252,Bruce Zimmermann,BAL,4.55
253,David Parkinson,,5.31
254,Kutter Crawford,BOS,4.49
255,Kyle Harrison,SFG,4.23
256,Jackson Wolf,SDP,4.66
257,Eric Lauer,,4.42
258,Justin Armbruester,BAL,4.67
259,Tony Gonsolin,LAD,4.26
260,Bryse Wilson,MIL,4.34
261,Mick Abel,PHI,5.28
262,Anderson Espinoza,,5.11
263,Anthony Solometo,PIT,4.62
264,Mitchell Parker,WSN,4.87
265,Albert Suarez,,4.53
266,Kris Bubic,KCR,4.79
267,Marco Gonzales,PIT,4.7
268,Drew Parrish,ATL,5.04
269,Tyler Phillips,PHI,5.4
270,Lance McCullers Jr.,HOU,3.61
271,Nick Nastrini,CHW,4.9
272,Tink Hence,STL,4.38
273,Gordon Graceffo,STL,4.56
274,Wikelman Gonzalez,BOS,5.16
275,Madison Bumgarner,,5.16
276,Sawyer Gipson-Long,DET,4.31
277,Joey Cantillo,CLE,4.4
278,Chase Hampton,NYY,4.59
279,Michael Soroka,CHW,4.76
280,Jesse Scholtens,CHW,4.85
281,Dylan Dodd,ATL,4.67
282,Hunter Gaddis,CLE,4.67
283,Chad Dallas,TOR,4.76
284,Hunter Stanley,CLE,4.67
285,Case Williams,COL,5.8
286,Tarik Skubal,DET,3.65
287,Steven Matz,STL,3.99
288,Kenta Maeda,DET,4.51
289,Mason Barnett,OAK,4.86
290,C?sar Valdez,,5.21
291,Grant Gambrell,BOS,5.12
292,Chris Murphy,BOS,5.03
293,Tanner Houck,BOS,4.62
294,Patrick Monteverde,MIA,4.7
295,Garrett Davila,SEA,4.62
296,Jos? Urquidy,HOU,4.11
297,Brandon Walter,HOU,4.72
298,Logan Gragg,SEA,4.81
299,Nestor Cortes,NYY,3.86
300,Sean Hunley,TBR,4.64
301,Jamison Hill,ARI,5.08
302,Sean Sullivan,PIT,4.66
303,Andrew Alvarez,WSN,4.93
304,Angel Bastardo,BOS,5.19
305,Trevor Rogers,BAL,4.06
306,Drew Rom,STL,4.15
307,Adri?n Mart?nez,,4.5
308,Connor Van Scoyoc,COL,5.56
309,Evan Fitterer,MIA,5.47
310,Hayden Wesneski,CHC,4.51
311,Luke Albright,ARI,4.78
312,Zach Logue,ATL,5.04
313,Devin Smeltzer,,4.87
314,Coleman Crow,MIL,4.26
315,Emmet Sheehan,LAD,4.35
316,Wilmer Flores,DET,4.62
317,Luke Weaver,NYY,5.33
318,Drey Jameson,ARI,4.01
319,AJ Smith-Shawver,ATL,4.54
320,Blade Tidwell,NYM,5.44
321,Connor Seabold,,5.36
322,Dylan Ray,ARI,4.47
323,Tyler Stuart,WSN,4.83
324,Cooper Criswell,BOS,4.92
325,Travis Adams,MIN,4.74
326,Shaun Anderson,MIA,5.36
327,Jack O'Loughlin,OAK,4.74
328,Brandon Komar,STL,4.74
329,Nick Martinez,CIN,4.04
330,Will Dion,CLE,4.49
331,Dustin Saenz,WSN,5.02
332,Joe Rock,TBR,4.49
333,Randy Dobnak,MIN,5.02
334,Peyton Battenfield,COL,5.02
335,Adam Oller,MIA,4.77
336,Blake Beers,OAK,4.77
337,Sam Benschoter,CIN,5.76
338,Joe Boyle,OAK,4.77
339,Blane Abeyta,NYY,5.4
340,Roansy Contreras,LAA,4.33
341,Jose Quintana,NYM,4.6
342,Chase Solesky,WSN,5.17
343,Josh Winckowski,BOS,4.36
344,Antonio Senzatela,COL,5.09
345,Zach Davies,,5.55
346,Hogan Harris,OAK,4.74
347,Peter Solomon,TEX,4.65
348,Tommy Mace,CLE,5.11
349,Nolan Watson,SDP,5.2
350,Ryan Yarbrough,TOR,4.67
351,Robby Snelling,MIA,4.58
352,Tanner Tully,NYY,4.76
353,Chayce McDermott,BAL,4.67
354,John Michael Bertrand,SFG,4.76
355,Chi Chi Gonz?lez,,5.4
356,Mason Adams,CHW,4.68
357,Julio Robaina,HOU,4.59
358,Domingo Germ?n,PIT,3.96
359,Noah Cameron,KCR,4.51
360,Hunter Dobbins,BOS,4.79
361,Bryan Hoeing,SDP,4.7
362,Nathan Wiles,TBR,4.44
363,Christian Roa,CIN,5.55
364,Chase Silseth,LAA,4.36
365,Osvaldo Bido,OAK,4.55
366,Alex Cornwell,STL,4.45
367,Carson Seymour,SFG,4.64
368,Xzavion Curry,MIA,4.45
369,Cole Winn,TEX,5.38
370,Keaton Winn,SFG,4.28
371,Matt Osterberg,PHI,5.03
372,Nick Davila,SEA,4.56
373,Patrick Wicklander,,4.65
374,Michael Cuevas,WSN,5.49
375,Daniel Lynch IV,KCR,4.78
376,Jacob Lopez,TBR,4.31
377,Nick Krauth,TEX,5.63
378,Ben Brown,CHC,4.23
379,Alex Wood,OAK,4.23
380,Chase Petty,CIN,5.17
381,Casey Mize,DET,4.61
382,Ronel Blanco,HOU,4.33
383,Walker Powell,CHC,4.34
384,Peter Lambert,COL,5.38
385,Emerson Hancock,SEA,4.44
386,Brandon Knarr,MIL,4.72
387,Ryan Murphy,SFG,4.72
388,Pedro Avila,CLE,4.53
389,Noah Skirrow,PHI,5.21
390,Junior Santos,NYM,5.31
391,William Fleming,KCR,5.12
392,Chih-Jung Liu,BOS,5.31
393,Anthony DeSclafani,MIN,4.56
394,Nick Neidert,,4.75
395,Joelvis Del Rosario,,4.85
396,Jaylen Nowlin,MIN,5.04
397,Josh Rogers,COL,5.8
398,Zach Thompson,,4.77
399,Christian Mejias,,5.34
400,Tristan Beck,SFG,4.4
401,DJ Herz,WSN,4.98
402,Carson Spiers,CIN,5.36
403,Denyi Reyes,,4.9
404,Adam Plutko,MIN,4.8
405,Carson Palmquist,COL,5.02
406,Paxton Schultz,TOR,4.92
407,Cole Wilcox,TBR,4.63
408,M.D. Johnson,MIA,5.31
409,Michael Plassmeyer,PIT,4.45
410,Dax Fulton,MIA,4.55
411,Zack Thompson,STL,4.45
412,Thomas Farr,CIN,6
413,Ryan Feltner,COL,5.15
414,Owen White,TEX,5.24
415,Kyle Leahy,STL,4.85
416,Luis Gil,NYY,4.29
417,Davis Martin,CHW,4.58
418,Ryan Bergert,SDP,4.68
419,Kyle Nicolas,PIT,4.78
420,Ryan Gusto,HOU,4.58
421,Hayden Birdsong,SFG,4.78
422,Richard Gallardo,CHC,4.97
423,Brandon Birdsell,CHC,5.17
424,Josh Hendrickson,,5.66
425,James Kaprielian,TOR,4.5
426,Alex Troop,,4.79
427,Yonny Chirinos,MIA,4.89
428,Jose Chacin,,5.28
429,Casey Lawrence,SEA,4.61
430,Ben Lively,CLE,4.61
431,Michael Darrell-Hicks,LAA,5.1
432,Chris Sale,ATL,3.84
433,Josh Stephan,TEX,4.53
434,Vladimir Gutierrez,,4.93
435,Austin Cox,KCR,4.73
436,Trace Bright,BAL,4.93
437,Doug Nikhazy,CLE,5.22
438,David Festa,MIN,4.45
439,Matt Manning,DET,4.55
440,Yilber Diaz,ARI,4.65
441,Noah Syndergaard,,4.95
442,Misael Tamarez,HOU,4.65
443,Ethan Lindow,,4.55
444,Drew Rasmussen,TBR,3.27
445,Jeff Lindgren,MIA,5.16
446,Michael King,SDP,3.49
447,Daniel Espino,CLE,4.09
448,Nick Frasso,LAD,4.58
449,Brad Keller,BOS,5.48
450,Bryce Osmond,LAA,5.48
451,Nick Nelson,PHI,5.3
452,Logan Allen,ARI,4.7
453,Jeffrey Springs,TBR,3.31
454,David Leal,OAK,4.41
455,Cory Abbott,CHW,4.52
456,Noah Davis,COL,5.92
457,Garrett Whitlock,BOS,3.73
458,Stephen Strasburg,,4.03
459,Valente Bellozo,MIA,4.54
460,Carlos Pena,DET,5.04
461,Matt Frisbee,SFG,4.74
462,Connor Gillispie,CLE,4.84
463,Victor Mederos,LAA,5.34
464,Carlos Luna,,4.65
465,Drew Hutchison,,5.76
466,Jakob Junis,CIN,4.26
467,Ryan Pepiot,TBR,3.96
468,Enmanuel De Jesus,,5.07
469,River Ryan,LAD,4.77
470,Aaron Ashby,MIL,4.08
471,Nate Fisher,,5.2
472,Blair Henley,HOU,5.1
473,Brent Headrick,MIN,4.4
474,Trevor Bauer,,4.3
475,Jackson Jobe,DET,4.6
476,Alex Pham,BAL,4.5
477,JT Brubaker,NYY,4.62
478,Adam Mazur,MIA,4.41
479,Bowden Francis,TOR,4.31
480,Glenn Otto,HOU,4.62
481,Wily Peralta,,4.93
482,Andrew Quezada,COL,5.75
483,Jack Kochanowicz,LAA,5.34
484,Corey Kluber,,5.26
485,Joander Suarez,NYM,5.46
486,Ben Casparius,LAD,5.15
487,Tekoah Roby,STL,4.34
488,Ty Blach,COL,5.48
489,John Parke,,5.07
490,Jared Koenig,MIL,4.66
491,Jalen Beeks,PIT,5.07
492,Orlando Ortiz-Mayr,LAD,5.28
493,Royber Salinas,OAK,4.46
494,Jonathan Bowlan,KCR,4.88
495,Levi Stoudt,BAL,4.88
496,Hyun Jin Ryu,,4.38
497,Luis Severino,NYM,4.8
498,Sean Boyle,NYY,4.59
499,Cam Alldred,,4.69
500,Ryan Long,BAL,4.8
501,Cade Horton,CHC,4.5
502,Shawn Semple,,4.92
503,Ross Stripling,OAK,4.2
504,Taylor Dollard,SEA,4.73
505,Jhonathan D?az,SEA,4.62
506,Nick Garcia,SFG,5.36
507,Kolby Allard,PHI,4.96
508,A.J. Blubaugh,HOU,4.54
509,Kohl Franklin,CHC,5.28
510,Tommy Romero,SFG,4.85
511,Garrett Schoenle,CHW,5.38
512,Drew Strotman,SFG,4.96
513,John Means,BAL,4.24
514,Jean Pinto,BAL,4.76
515,Lael Lockhart,DET,4.98
516,Randy Wynne,CIN,5.51
517,Michael Dominguez,TOR,5.29
518,Trey Supak,CHC,4.98
519,Jairo Iriarte,CHW,5.1
520,Andre Pallante,STL,4.25
521,Zach Neal,,4.78
522,Jos? Suarez,LAA,4.48
523,Jaime Barria,,4.16
